"","species","censusyear","N_present"
"1","Acalypha diversifolia",1982,284
"2","Acalypha diversifolia",1985,311
"3","Acalypha diversifolia",1990,222
"4","Acalypha diversifolia",1995,122
"5","Acalypha diversifolia",2000,109
"6","Acalypha diversifolia",2005,125
"7","Acalypha diversifolia",2010,185
"8","Acalypha diversifolia",2015,274
"9","Acalypha macrostachya",1982,2
"10","Acalypha macrostachya",1985,5
"11","Acalypha macrostachya",1990,3
"12","Acalypha macrostachya",1995,2
"13","Acalypha macrostachya",2000,1
"14","Acalypha macrostachya",2005,0
"15","Acalypha macrostachya",2010,0
"16","Acalypha macrostachya",2015,0
"17","Adelia triloba",1982,59
"18","Adelia triloba",1985,58
"19","Adelia triloba",1990,54
"20","Adelia triloba",1995,47
"21","Adelia triloba",2000,41
"22","Adelia triloba",2005,33
"23","Adelia triloba",2010,30
"24","Adelia triloba",2015,26
"25","Aegiphila panamensis",1982,12
"26","Aegiphila panamensis",1985,13
"27","Aegiphila panamensis",1990,8
"28","Aegiphila panamensis",1995,9
"29","Aegiphila panamensis",2000,4
"30","Aegiphila panamensis",2005,3
"31","Aegiphila panamensis",2010,3
"32","Aegiphila panamensis",2015,1
"33","Alchornea costaricensis",1982,47
"34","Alchornea costaricensis",1985,44
"35","Alchornea costaricensis",1990,33
"36","Alchornea costaricensis",1995,32
"37","Alchornea costaricensis",2000,23
"38","Alchornea costaricensis",2005,23
"39","Alchornea costaricensis",2010,18
"40","Alchornea costaricensis",2015,17
"41","Alibertia edulis",1982,5
"42","Alibertia edulis",1985,12
"43","Alibertia edulis",1990,13
"44","Alibertia edulis",1995,13
"45","Alibertia edulis",2000,12
"46","Alibertia edulis",2005,12
"47","Alibertia edulis",2010,12
"48","Alibertia edulis",2015,15
"49","Allophylus psilospermus",1982,16
"50","Allophylus psilospermus",1985,19
"51","Allophylus psilospermus",1990,18
"52","Allophylus psilospermus",1995,16
"53","Allophylus psilospermus",2000,15
"54","Allophylus psilospermus",2005,20
"55","Allophylus psilospermus",2010,22
"56","Allophylus psilospermus",2015,25
"57","Alseis blackiana",1982,153
"58","Alseis blackiana",1985,165
"59","Alseis blackiana",1990,184
"60","Alseis blackiana",1995,192
"61","Alseis blackiana",2000,203
"62","Alseis blackiana",2005,211
"63","Alseis blackiana",2010,219
"64","Alseis blackiana",2015,225
"65","Anacardium excelsum",1982,6
"66","Anacardium excelsum",1985,6
"67","Anacardium excelsum",1990,7
"68","Anacardium excelsum",1995,7
"69","Anacardium excelsum",2000,6
"70","Anacardium excelsum",2005,6
