"","species","censusyear","N_present"
"1","Acalypha diversifolia",1982,300
"2","Acalypha diversifolia",1985,264
"3","Acalypha diversifolia",1990,179
"4","Acalypha diversifolia",1995,111
"5","Acalypha diversifolia",2000,107
"6","Acalypha diversifolia",2005,116
"7","Acalypha diversifolia",2010,151
"8","Acalypha diversifolia",2015,185
"9","Acalypha macrostachya",1982,5
"10","Acalypha macrostachya",1985,6
"11","Acalypha macrostachya",1990,7
"12","Acalypha macrostachya",1995,4
"13","Acalypha macrostachya",2000,1
"14","Acalypha macrostachya",2005,1
"15","Acalypha macrostachya",2010,3
"16","Acalypha macrostachya",2015,3
"17","Adelia triloba",1982,33
"18","Adelia triloba",1985,35
"19","Adelia triloba",1990,32
"20","Adelia triloba",1995,27
"21","Adelia triloba",2000,23
"22","Adelia triloba",2005,20
"23","Adelia triloba",2010,19
"24","Adelia triloba",2015,15
"25","Aegiphila panamensis",1982,16
"26","Aegiphila panamensis",1985,15
"27","Aegiphila panamensis",1990,13
"28","Aegiphila panamensis",1995,11
"29","Aegiphila panamensis",2000,10
"30","Aegiphila panamensis",2005,9
"31","Aegiphila panamensis",2010,8
"32","Aegiphila panamensis",2015,7
"33","Alchornea costaricensis",1982,24
"34","Alchornea costaricensis",1985,27
"35","Alchornea costaricensis",1990,27
"36","Alchornea costaricensis",1995,30
"37","Alchornea costaricensis",2000,29
"38","Alchornea costaricensis",2005,30
"39","Alchornea costaricensis",2010,29
"40","Alchornea costaricensis",2015,27
"41","Alibertia edulis",1982,12
"42","Alibertia edulis",1985,14
"43","Alibertia edulis",1990,12
"44","Alibertia edulis",1995,13
"45","Alibertia edulis",2000,11
"46","Alibertia edulis",2005,11
"47","Alibertia edulis",2010,10
"48","Alibertia edulis",2015,10
"49","Allophylus psilospermus",1982,11
"50","Allophylus psilospermus",1985,13
"51","Allophylus psilospermus",1990,11
"52","Allophylus psilospermus",1995,11
"53","Allophylus psilospermus",2000,11
"54","Allophylus psilospermus",2005,9
"55","Allophylus psilospermus",2010,8
"56","Allophylus psilospermus",2015,7
"57","Alseis blackiana",1982,103
"58","Alseis blackiana",1985,104
"59","Alseis blackiana",1990,107
"60","Alseis blackiana",1995,111
"61","Alseis blackiana",2000,116
"62","Alseis blackiana",2005,123
"63","Alseis blackiana",2010,128
"64","Alseis blackiana",2015,126
"65","Amaioua corymbosa",1982,2
"66","Amaioua corymbosa",1985,2
"67","Amaioua corymbosa",1990,3
"68","Amaioua corymbosa",1995,2
"69","Amaioua corymbosa",2000,2
"70","Amaioua corymbosa",2005,2
"71","Amaioua corymbosa",2010,2
"72","Amaioua corymbosa",2015,3
"73","Anacardium excelsum",1982,3
"74","Anacardium excelsum",1985,4
"75","Anacardium excelsum",1990,4
"76","Anacardium excelsum",1995,5
"77","Anacardium excelsum",2000,5
"78","Anacardium excelsum",2005,5
"79","Anacardium excelsum",2010,5
"80","Anacardium excelsum",2015,5
"81","Andira inermis inermis",1982,3
"82","Andira inermis inermis",1985,1
"83","Andira inermis inermis",1990,1
"84","Andira inermis inermis",1995,0
"85","Andira inermis inermis",2000,0
"86","Andira inermis inermis",2005,0
"87","Andira inermis inermis",2010,0
"88","Andira inermis inermis",2015,0
"89","Annona acuminata",1982,112
"90","Annona acuminata",1985,129
"91","Annona acuminata",1990,141
"92","Annona acuminata",1995,143
"93","Annona acuminata",2000,129
"94","Annona acuminata",2005,121
"95","Annona acuminata",2010,111
"96","Annona acuminata",2015,98
"97","Annona spraguei",1982,5
"98","Annona spraguei",1985,6
"99","Annona spraguei",1990,6
"100","Annona spraguei",1995,8
"101","Annona spraguei",2000,8
"102","Annona spraguei",2005,5
"103","Annona spraguei",2010,2
"104","Annona spraguei",2015,2
"105","Apeiba membranacea",1982,35
"106","Apeiba membranacea",1985,33
"107","Apeiba membranacea",1990,29
"108","Apeiba membranacea",1995,26
"109","Apeiba membranacea",2000,25
"110","Apeiba membranacea",2005,24
"111","Apeiba membranacea",2010,23
"112","Apeiba membranacea",2015,21
"113","Apeiba tibourbou",1982,5
"114","Apeiba tibourbou",1985,5
"115","Apeiba tibourbou",1990,6
"116","Apeiba tibourbou",1995,6
"117","Apeiba tibourbou",2000,6
"118","Apeiba tibourbou",2005,5
"119","Apeiba tibourbou",2010,9
"120","Apeiba tibourbou",2015,7
"121","Aphelandra sinclairiana",1982,2
"122","Aphelandra sinclairiana",1985,1
"123","Aphelandra sinclairiana",1990,0
"124","Aphelandra sinclairiana",1995,0
"125","Aphelandra sinclairiana",2000,0
"126","Aphelandra sinclairiana",2005,0
"127","Aphelandra sinclairiana",2010,0
"128","Aphelandra sinclairiana",2015,0
"129","Ardisia standleyana",1982,6
"130","Ardisia standleyana",1985,7
"131","Ardisia standleyana",1990,8
"132","Ardisia standleyana",1995,8
"133","Ardisia standleyana",2000,13
"134","Ardisia standleyana",2005,13
"135","Ardisia standleyana",2010,12
"136","Ardisia standleyana",2015,12
"137","Aspidosperma spruceanum",1982,8
"138","Aspidosperma spruceanum",1985,8
"139","Aspidosperma spruceanum",1990,7
"140","Aspidosperma spruceanum",1995,7
"141","Aspidosperma spruceanum",2000,8
"142","Aspidosperma spruceanum",2005,10
"143","Aspidosperma spruceanum",2010,11
"144","Aspidosperma spruceanum",2015,10
"145","Astrocaryum standleyanum",1982,74
"146","Astrocaryum standleyanum",1985,67
"147","Astrocaryum standleyanum",1990,67
"148","Astrocaryum standleyanum",1995,61
"149","Astrocaryum standleyanum",2000,55
"150","Astrocaryum standleyanum",2005,49
"151","Astrocaryum standleyanum",2010,45
"152","Astrocaryum standleyanum",2015,40
"153","Astronium graveolens",1982,3
"154","Astronium graveolens",1985,3
"155","Astronium graveolens",1990,2
"156","Astronium graveolens",1995,2
"157","Astronium graveolens",2000,1
"158","Astronium graveolens",2005,1
"159","Astronium graveolens",2010,2
"160","Astronium graveolens",2015,2
"161","Attalea butyracea",1982,16
"162","Attalea butyracea",1985,16
"163","Attalea butyracea",1990,13
"164","Attalea butyracea",1995,11
"165","Attalea butyracea",2000,12
"166","Attalea butyracea",2005,12
"167","Attalea butyracea",2010,11
"168","Attalea butyracea",2015,9
"169","Bactris coloniata",1982,49
"170","Bactris coloniata",1985,38
"171","Bactris coloniata",1990,23
"172","Bactris coloniata",1995,19
"173","Bactris coloniata",2000,19
"174","Bactris coloniata",2005,19
"175","Bactris coloniata",2010,19
"176","Bactris coloniata",2015,23
"177","Bactris coloradonis",1982,8
"178","Bactris coloradonis",1985,5
"179","Bactris coloradonis",1990,2
"180","Bactris coloradonis",1995,0
"181","Bactris coloradonis",2000,0
"182","Bactris coloradonis",2005,0
"183","Bactris coloradonis",2010,0
"184","Bactris coloradonis",2015,0
"185","Bactris major major",1982,30
"186","Bactris major major",1985,30
"187","Bactris major major",1990,29
"188","Bactris major major",1995,21
"189","Bactris major major",2000,12
"190","Bactris major major",2005,7
"191","Bactris major major",2010,7
"192","Bactris major major",2015,7
"193","Beilschmiedia pendula",1982,6
"194","Beilschmiedia pendula",1985,6
"195","Beilschmiedia pendula",1990,7
"196","Beilschmiedia pendula",1995,8
"197","Beilschmiedia pendula",2000,8
"198","Beilschmiedia pendula",2005,8
"199","Beilschmiedia pendula",2010,7
"200","Beilschmiedia pendula",2015,6
"201","Brosimum alicastrum bolivarense",1982,18
"202","Brosimum alicastrum bolivarense",1985,17
"203","Brosimum alicastrum bolivarense",1990,17
"204","Brosimum alicastrum bolivarense",1995,16
"205","Brosimum alicastrum bolivarense",2000,14
"206","Brosimum alicastrum bolivarense",2005,13
"207","Brosimum alicastrum bolivarense",2010,13
"208","Brosimum alicastrum bolivarense",2015,12
"209","Calophyllum longifolium",1982,3
"210","Calophyllum longifolium",1985,2
"211","Calophyllum longifolium",1990,2
"212","Calophyllum longifolium",1995,2
"213","Calophyllum longifolium",2000,2
"214","Calophyllum longifolium",2005,2
"215","Calophyllum longifolium",2010,2
"216","Calophyllum longifolium",2015,5
"217","Capparis frondosa",1982,911
"218","Capparis frondosa",1985,977
"219","Capparis frondosa",1990,916
"220","Capparis frondosa",1995,844
"221","Capparis frondosa",2000,762
"222","Capparis frondosa",2005,684
"223","Capparis frondosa",2010,591
"224","Capparis frondosa",2015,519
"225","Casearia aculeata",1982,29
"226","Casearia aculeata",1985,26
"227","Casearia aculeata",1990,27
"228","Casearia aculeata",1995,24
"229","Casearia aculeata",2000,25
"230","Casearia aculeata",2005,22
"231","Casearia aculeata",2010,22
"232","Casearia aculeata",2015,22
"233","Casearia arborea",1982,12
"234","Casearia arborea",1985,9
"235","Casearia arborea",1990,9
"236","Casearia arborea",1995,11
"237","Casearia arborea",2000,12
"238","Casearia arborea",2005,11
"239","Casearia arborea",2010,11
"240","Casearia arborea",2015,6
"241","Casearia guianensis",1982,2
"242","Casearia guianensis",1985,2
"243","Casearia guianensis",1990,2
"244","Casearia guianensis",1995,2
"245","Casearia guianensis",2000,2
"246","Casearia guianensis",2005,2
"247","Casearia guianensis",2010,2
"248","Casearia guianensis",2015,2
"249","Casearia sylvestris sylvestris",1982,19
"250","Casearia sylvestris sylvestris",1985,18
"251","Casearia sylvestris sylvestris",1990,16
