"","species_year","genus_species_subspecies","censusyear","N_present","N_born","N_died"
"1","Abarema macradenia_1982","Abarema macradenia",1982,1,1,0
"2","Abarema macradenia_1985","Abarema macradenia",1985,1,0,0
"3","Abarema macradenia_1990","Abarema macradenia",1990,1,0,0
"4","Abarema macradenia_1995","Abarema macradenia",1995,1,0,0
"5","Abarema macradenia_2000","Abarema macradenia",2000,1,0,0
"6","Abarema macradenia_2005","Abarema macradenia",2005,1,0,0
"7","Abarema macradenia_2010","Abarema macradenia",2010,1,0,0
"8","Abarema macradenia_2015","Abarema macradenia",2015,2,1,0
"9","Acalypha diversifolia_1982","Acalypha diversifolia",1982,956,956,0
"10","Acalypha diversifolia_1985","Acalypha diversifolia",1985,852,208,312
"11","Acalypha diversifolia_1990","Acalypha diversifolia",1990,585,163,430
"12","Acalypha diversifolia_1995","Acalypha diversifolia",1995,370,87,302
"13","Acalypha diversifolia_2000","Acalypha diversifolia",2000,342,132,160
"14","Acalypha diversifolia_2005","Acalypha diversifolia",2005,407,181,116
"15","Acalypha diversifolia_2010","Acalypha diversifolia",2010,587,290,110
"16","Acalypha diversifolia_2015","Acalypha diversifolia",2015,807,410,190
"17","Acalypha macrostachya_1982","Acalypha macrostachya",1982,67,67,0
"18","Acalypha macrostachya_1985","Acalypha macrostachya",1985,59,11,19
"19","Acalypha macrostachya_1990","Acalypha macrostachya",1990,41,12,30
"20","Acalypha macrostachya_1995","Acalypha macrostachya",1995,37,16,20
"21","Acalypha macrostachya_2000","Acalypha macrostachya",2000,37,20,20
"22","Acalypha macrostachya_2005","Acalypha macrostachya",2005,43,18,12
"23","Acalypha macrostachya_2010","Acalypha macrostachya",2010,48,19,14
"24","Acalypha macrostachya_2015","Acalypha macrostachya",2015,53,31,26
"25","Adelia triloba_1982","Adelia triloba",1982,114,114,0
"26","Adelia triloba_1985","Adelia triloba",1985,116,12,10
"27","Adelia triloba_1990","Adelia triloba",1990,110,10,16
"28","Adelia triloba_1995","Adelia triloba",1995,94,4,20
"29","Adelia triloba_2000","Adelia triloba",2000,81,2,15
"30","Adelia triloba_2005","Adelia triloba",2005,71,5,15
"31","Adelia triloba_2010","Adelia triloba",2010,65,3,9
"32","Adelia triloba_2015","Adelia triloba",2015,58,5,12
"33","Aegiphila panamensis_1982","Aegiphila panamensis",1982,71,71,0
"34","Aegiphila panamensis_1985","Aegiphila panamensis",1985,71,9,9
"35","Aegiphila panamensis_1990","Aegiphila panamensis",1990,66,10,15
"36","Aegiphila panamensis_1995","Aegiphila panamensis",1995,62,4,8
"37","Aegiphila panamensis_2000","Aegiphila panamensis",2000,49,1,14
"38","Aegiphila panamensis_2005","Aegiphila panamensis",2005,35,0,14
"39","Aegiphila panamensis_2010","Aegiphila panamensis",2010,29,3,9
"40","Aegiphila panamensis_2015","Aegiphila panamensis",2015,22,2,9
"41","Alchornea costaricensis_1982","Alchornea costaricensis",1982,107,107,0
"42","Alchornea costaricensis_1985","Alchornea costaricensis",1985,106,9,10
"43","Alchornea costaricensis_1990","Alchornea costaricensis",1990,100,10,16
"44","Alchornea costaricensis_1995","Alchornea costaricensis",1995,104,13,9
"45","Alchornea costaricensis_2000","Alchornea costaricensis",2000,97,7,14
"46","Alchornea costaricensis_2005","Alchornea costaricensis",2005,104,12,5
"47","Alchornea costaricensis_2010","Alchornea costaricensis",2010,102,6,8
"48","Alchornea costaricensis_2015","Alchornea costaricensis",2015,96,3,9
"49","Alchornea latifolia_1982","Alchornea latifolia",1982,1,1,0
"50","Alchornea latifolia_1985","Alchornea latifolia",1985,1,0,0
"51","Alchornea latifolia_1990","Alchornea latifolia",1990,2,1,0
"52","Alchornea latifolia_1995","Alchornea latifolia",1995,1,0,1
"53","Alchornea latifolia_2000","Alchornea latifolia",2000,1,0,0
"54","Alchornea latifolia_2005","Alchornea latifolia",2005,1,0,0
"55","Alchornea latifolia_2010","Alchornea latifolia",2010,1,0,0
"56","Alchornea latifolia_2015","Alchornea latifolia",2015,0,0,1
"57","Alibertia edulis_1982","Alibertia edulis",1982,41,41,0
"58","Alibertia edulis_1985","Alibertia edulis",1985,58,19,2
"59","Alibertia edulis_1990","Alibertia edulis",1990,66,15,7
"60","Alibertia edulis_1995","Alibertia edulis",1995,67,4,3
"61","Alibertia edulis_2000","Alibertia edulis",2000,65,8,10
"62","Alibertia edulis_2005","Alibertia edulis",2005,71,14,8
"63","Alibertia edulis_2010","Alibertia edulis",2010,68,11,14
"64","Alibertia edulis_2015","Alibertia edulis",2015,76,11,3
"65","Allophylus psilospermus_1982","Allophylus psilospermus",1982,62,62,0
"66","Allophylus psilospermus_1985","Allophylus psilospermus",1985,70,11,3
"67","Allophylus psilospermus_1990","Allophylus psilospermus",1990,66,8,12
"68","Allophylus psilospermus_1995","Allophylus psilospermus",1995,64,7,9
"69","Allophylus psilospermus_2000","Allophylus psilospermus",2000,63,7,8
"70","Allophylus psilospermus_2005","Allophylus psilospermus",2005,65,8,6
"71","Allophylus psilospermus_2010","Allophylus psilospermus",2010,62,5,8
"72","Allophylus psilospermus_2015","Allophylus psilospermus",2015,59,4,7
"73","Alseis blackiana_1982","Alseis blackiana",1982,445,445,0
"74","Alseis blackiana_1985","Alseis blackiana",1985,461,33,17
"75","Alseis blackiana_1990","Alseis blackiana",1990,494,48,15
"76","Alseis blackiana_1995","Alseis blackiana",1995,516,26,4
"77","Alseis blackiana_2000","Alseis blackiana",2000,533,31,14
"78","Alseis blackiana_2005","Alseis blackiana",2005,553,44,24
"79","Alseis blackiana_2010","Alseis blackiana",2010,577,47,23
"80","Alseis blackiana_2015","Alseis blackiana",2015,586,38,29
"81","Amaioua corymbosa_1982","Amaioua corymbosa",1982,2,2,0
"82","Amaioua corymbosa_1985","Amaioua corymbosa",1985,2,0,0
"83","Amaioua corymbosa_1990","Amaioua corymbosa",1990,3,1,0
"84","Amaioua corymbosa_1995","Amaioua corymbosa",1995,2,0,1
"85","Amaioua corymbosa_2000","Amaioua corymbosa",2000,2,0,0
"86","Amaioua corymbosa_2005","Amaioua corymbosa",2005,2,0,0
"87","Amaioua corymbosa_2010","Amaioua corymbosa",2010,2,0,0
"88","Amaioua corymbosa_2015","Amaioua corymbosa",2015,3,1,0
"89","Anacardium excelsum_1982","Anacardium excelsum",1982,19,19,0
"90","Anacardium excelsum_1985","Anacardium excelsum",1985,20,1,0
"91","Anacardium excelsum_1990","Anacardium excelsum",1990,21,1,0
"92","Anacardium excelsum_1995","Anacardium excelsum",1995,22,1,0
"93","Anacardium excelsum_2000","Anacardium excelsum",2000,21,0,1
"94","Anacardium excelsum_2005","Anacardium excelsum",2005,20,0,1
"95","Anacardium excelsum_2010","Anacardium excelsum",2010,20,0,0
"96","Anacardium excelsum_2015","Anacardium excelsum",2015,19,0,1
"97","Anaxagorea panamensis_1982","Anaxagorea panamensis",1982,468,468,0
"98","Anaxagorea panamensis_1985","Anaxagorea panamensis",1985,482,76,62
"99","Anaxagorea panamensis_1990","Anaxagorea panamensis",1990,602,164,44
"100","Anaxagorea panamensis_1995","Anaxagorea panamensis",1995,708,125,19
"101","Anaxagorea panamensis_2000","Anaxagorea panamensis",2000,760,84,32
"102","Anaxagorea panamensis_2005","Anaxagorea panamensis",2005,817,95,38
"103","Anaxagorea panamensis_2010","Anaxagorea panamensis",2010,898,190,109
"104","Anaxagorea panamensis_2015","Anaxagorea panamensis",2015,892,84,90
"105","Andira inermis inermis_1982","Andira inermis inermis",1982,9,9,0
"106","Andira inermis inermis_1985","Andira inermis inermis",1985,6,2,5
"107","Andira inermis inermis_1990","Andira inermis inermis",1990,5,0,1
"108","Andira inermis inermis_1995","Andira inermis inermis",1995,4,1,2
"109","Andira inermis inermis_2000","Andira inermis inermis",2000,5,1,0
"110","Andira inermis inermis_2005","Andira inermis inermis",2005,5,0,0
"111","Andira inermis inermis_2010","Andira inermis inermis",2010,5,0,0
"112","Andira inermis inermis_2015","Andira inermis inermis",2015,5,0,0
"113","Annona acuminata_1982","Annona acuminata",1982,488,488,0
