"","name","beta","p_survive_annual"
"1","Abarema macradenia",-0.683280716043581,0.978060398173461
"2","Acalypha diversifolia",-0.239523402999449,0.894520165228245
"3","Acalypha macrostachya",-0.188530603881626,0.886095394921774
"4","Adelia triloba",-0.885440271910729,0.966255318502721
"5","Aegiphila panamensis",-0.856163815570956,0.952955188890426
"6","Alchornea costaricensis",-0.83598014861973,0.97825421361772
"7","Alchornea latifolia",-0.607637668699112,0.95520759725738
"8","Alibertia edulis",-0.631151841876279,0.976269120515386
"9","Allophylus psilospermus",-0.782172701959105,0.974062875616313
"10","Alseis blackiana",-0.852715971906464,0.992368865895377
"11","Amaioua corymbosa",-0.691711315546703,0.976591360478923
"12","Anacardium excelsum",-0.956350503604053,0.992957574074735
"13","Anaxagorea panamensis",-0.637272930927938,0.982026095821803
"14","Andira inermis inermis",-0.763239915245963,0.958035599657442
"15","Annona acuminata",-0.693230001008848,0.96609406005172
"16","Annona hayesii",-0.681906411204425,0.96019085533336
"17","Annona spraguei",-0.520356721562694,0.934029472014975
"18","Apeiba membranacea",-0.87851809012918,0.980020197322643
"19","Apeiba tibourbou",-0.685403635704304,0.960706187500571
"20","Aphelandra sinclairiana",-0.496687197776547,0.927044270818271
"21","Ardisia standleyana",-0.769192991913401,0.983892532730505
"22","Aspidosperma spruceanum",-0.77779709898718,0.992851029759936
"23","Astrocaryum standleyanum",-0.980573751812912,0.9797684892789
"24","Astronium graveolens",-0.82622730944231,0.989613970715892
"25","Attalea butyracea",-0.889541219758018,0.977895302024954
"26","Bactris coloniata",-0.816339407905889,0.914194520818191
"27","Bactris coloradonis",-0.885384971058299,0.802513405520706
"28","Bactris major major",-0.91013817942944,0.974023064360283
"29","Beilschmiedia pendula",-0.876501949237325,0.980098039340031
"30","Brosimum alicastrum bolivarense",-0.935329268104858,0.979776623913098
"31","Calophyllum longifolium",-0.821181017099016,0.976423328929062
"32","Capparis frondosa",-0.919548406720387,0.977114968686916
"33","Casearia aculeata",-0.831442246265127,0.974157171955236
"34","Casearia arborea",-0.87734070504314,0.949313793461688
"35","Casearia commersoniana",-0.711654769538712,0.980961376387618
"36","Casearia guianensis",-0.887129509452634,0.980637732413455
"37","Casearia sylvestris sylvestris",-0.863493875052555,0.958897673395597
"38","Cassipourea elliptica",-0.608289198787046,0.982160908393835
"39","Cavanillesia platanifolia",-0.917125214589338,0.992585633143532
"40","Cecropia insignis",-0.632406767283081,0.95406372876634
"41","Cecropia obtusifolia",0.335750250702976,0.907024831545417
"42","Cedrela odorata",-0.739079843651658,0.975781562132261
"43","Ceiba pentandra",-0.950885394203085,0.97894181756666
"44","Celtis schippii",-0.373560896656315,0.97382178500009
"45","Cespedesia spathulata",-0.743306433527047,0.974040811504942
