"","censusyear","simulation_nr","SVt","BBt","Dt","Mt","D_species_richness","D_simpson","H_simpson"
"1",1985,1,1,1,1,1,248,0.80560066135056,5.14405042191682
"2",1985,1,1,1,1,2,251,0.806015048885544,5.15503905975661
"3",1985,1,1,1,1,4,251,0.806026027844263,5.15533083581505
"4",1985,1,1,1,1,8,259,0.805841323314747,5.15042653293873
"5",1985,1,1,1,1,16,267,0.804923842884349,5.12620309311892
"6",1985,1,1,1,1,32,282,0.805459519017302,5.14031832834287
"7",1985,2,1,1,1,1,249,0.806438142248822,5.16630710005631
"8",1985,2,1,1,1,2,252,0.805602499671424,5.14409906665351
"9",1985,2,1,1,1,4,253,0.80508761822878,5.13051039093946
"10",1985,2,1,1,1,8,258,0.805183640373719,5.13303914475311
"11",1985,2,1,1,1,16,264,0.805153193617825,5.13223705621628
"12",1985,2,1,1,1,32,282,0.805401779195589,5.13879312907537
"13",1985,3,1,1,1,1,249,0.806074515311672,5.15661983058685
"14",1985,3,1,1,1,2,253,0.806007776108029,5.15484579710202
"15",1985,3,1,1,1,4,256,0.806748746713621,5.17461068424794
"16",1985,3,1,1,1,8,258,0.805237396453686,5.13445590576223
"17",1985,3,1,1,1,16,265,0.806423526440286,5.16591702292542
"18",1985,3,1,1,1,32,281,0.806278265283093,5.16204338899473
"19",1985,4,1,1,1,1,253,0.806073314453172,5.15658789908277
"20",1985,4,1,1,1,2,251,0.80601426443594,5.15501821354162
"21",1985,4,1,1,1,4,251,0.805653068911215,5.14543756568588
"22",1985,4,1,1,1,8,259,0.805833344795576,5.15021489630737
"23",1985,4,1,1,1,16,263,0.806347043305965,5.16387674668951
"24",1985,4,1,1,1,32,291,0.805580802182377,5.14352497708617
"25",1985,5,1,1,1,1,250,0.805923439766486,5.15260574897245
"26",1985,5,1,1,1,2,253,0.806502438241369,5.16802377720605
"27",1985,5,1,1,1,4,255,0.805271132750237,5.13534543759955
"28",1985,5,1,1,1,8,255,0.805705546107986,5.14682730241896
"29",1985,5,1,1,1,16,259,0.806170597439544,5.15917599079478
"30",1985,5,1,1,1,32,292,0.806943790710122,5.17983857488096
"31",1990,1,1,1,1,1,248,0.813723904361469,5.36837534935508
"32",1990,1,1,1,1,2,254,0.813737027682032,5.36875358293385
"33",1990,1,1,1,1,4,252,0.811883674274098,5.31585972743837
"34",1990,1,1,1,1,8,266,0.813981343698638,5.37580487830176
"35",1990,1,1,1,1,16,284,0.812456988294656,5.33211016985872
"36",1990,1,1,1,1,32,311,0.811322095087032,5.30003765126221
"37",1990,2,1,1,1,1,252,0.814592671122781,5.39353005113525
"38",1990,2,1,1,1,2,251,0.812711458340765,5.33935493939328
"39",1990,2,1,1,1,4,251,0.812698890855259,5.33899668061886
"40",1990,2,1,1,1,8,263,0.812636274612318,5.33721240827624
