"","treatment_label","censusyear","simulation_nr","D_species_richness","D_simpson","H_simpson"
"1","selection",2015,1,250,0.849593281183093,6.64863915565712
"2","selection",2015,2,265,0.850887614967809,6.70635105047857
"3","selection",2015,3,252,0.848720357553764,6.6102747456942
"4","selection",2015,4,260,0.846638374462116,6.52053599779417
"5","selection",2015,5,253,0.847266391127778,6.54734742002074
"6","selection",2015,6,268,0.847305020128818,6.54900377762011
"7","selection",2015,7,262,0.850498008805392,6.6888741214041
"8","selection",2015,8,265,0.847379976360606,6.55222018811091
"9","selection",2015,9,265,0.848589311812034,6.60455356202179
"10","selection",2015,10,251,0.846054316595452,6.49579759487078
"11","selection",2015,11,261,0.850452739124356,6.68684932204508
"12","selection",2015,12,264,0.848944448114819,6.62008107295593
"13","selection",2015,13,275,0.849790610674536,6.65737344709702
"14","selection",2015,14,260,0.850016598940302,6.66740447899279
"15","selection",2015,15,269,0.85078725299551,6.70184029230365
"16","selection",2015,16,256,0.848641142821398,6.6068152114812
"17","selection",2015,17,272,0.847998258596355,6.57887199689686
"18","selection",2015,18,269,0.84904609154686,6.62453864392937
"19","selection",2015,19,254,0.848450841178498,6.598518974149
"20","selection",2015,20,251,0.849614915682485,6.64959563335853
"21","selection",2015,21,263,0.847785472230409,6.56967514634156
"22","selection",2015,22,272,0.84798202977971,6.57816966343451
"23","selection",2015,23,255,0.846686303028821,6.52257443239392
"24","selection",2015,24,263,0.847694843835901,6.56576589516488
"25","selection",2015,25,266,0.850506257871896,6.68924321355928
"26","selection",2015,26,260,0.847874351826228,6.57351348707294
"27","selection",2015,27,246,0.84693768446182,6.53328676287116
"28","selection",2015,28,272,0.851901653995082,6.75226987320166
"29","selection",2015,29,261,0.848813268818005,6.61433706636743
"30","selection",2015,30,264,0.848647407707834,6.60708868513884
"31","selection",2015,31,277,0.848246824273014,6.58964792802139
"32","selection",2015,32,262,0.849009794616526,6.62294615376058
"33","selection",2015,33,265,0.846282563187849,6.50544284850419
"34","selection",2015,34,268,0.848188395583774,6.58711172868099
"35","selection",2015,35,270,0.850354759155562,6.68247111874099
