"species","censusyear","N_present"
"Abarema macradenia","1982",1
"Acalypha diversifolia","1982",956
"Acalypha macrostachya","1982",67
"Adelia triloba","1982",114
"Aegiphila panamensis","1982",71
"Alchornea costaricensis","1982",107
"Alchornea latifolia","1982",1
"Alibertia edulis","1982",41
"Allophylus psilospermus","1982",62
"Alseis blackiana","1982",445
"Amaioua corymbosa","1982",2
"Anacardium excelsum","1982",19
"Anaxagorea panamensis","1982",468
"Andira inermis inermis","1982",9
"Annona acuminata","1982",488
"Annona hayesii","1982",1
"Annona spraguei","1982",22
"Apeiba membranacea","1982",119
"Apeiba tibourbou","1982",27
"Aphelandra sinclairiana","1982",8
"Ardisia standleyana","1982",17
"Aspidosperma spruceanum","1982",17
"Astrocaryum standleyanum","1982",240
"Astronium graveolens","1982",16
"Attalea butyracea","1982",44
"Bactris coloniata","1982",113
"Bactris coloradonis","1982",32
"Bactris major major","1982",58
"Beilschmiedia pendula","1982",127
"Brosimum alicastrum bolivarense","1982",68
"Calophyllum longifolium","1982",14
"Capparis frondosa","1982",3413
"Casearia aculeata","1982",102
"Casearia arborea","1982",106
"Casearia commersoniana","1982",2
"Casearia guianensis","1982",10
"Casearia sylvestris sylvestris","1982",73
"Cassipourea elliptica","1982",83
"Cavanillesia platanifolia","1982",15
"Cecropia insignis","1982",102
"Cecropia obtusifolia","1982",40
"Cedrela odorata","1982",0
"Ceiba pentandra","1982",25
"Celtis schippii","1982",9
"Cespedesia spathulata","1982",1
"Cestrum megalophyllum","1982",300
"Chamaedorea tepejilote","1982",32
"Chamguava schippii","1982",33
"Chrysochlamys eclipes","1982",301
"Chrysophyllum argenteum panamense","1982",12
"Chrysophyllum cainito","1982",12
"Cinnamomum triplinerve","1982",13
"Clidemia octona","1982",2
"Clidemia septuplinervia","1982",1
"Coccoloba coronata","1982",23
"Coccoloba manzinellensis","1982",8
"Cojoba rufescens","1982",0
"Conostegia bracteata","1982",4
"Conostegia cinnamomea","1982",377
"Cordia alliodora","1982",38
"Cordia bicolor","1982",191
"Cordia lasiocalyx","1982",420
"Coussarea curvigemmia","1982",623
"Croton billbergianus billbergianus","1982",199
"Cupania cinerea","1982",1
"Cupania latifolia","1982",0
"Cupania rufescens","1982",3
"Cupania sylvatica","1982",161
"Dendropanax arboreus","1982",38
"Desmopsis panamensis","1982",3976
"Diospyros artanthifolia","1982",4
"Dipteryx oleifera","1982",26
"Drypetes standleyi","1982",48
"Erythrina costaricensis","1982",167
"Erythroxylum macrophyllum","1982",53
"Erythroxylum panamense","1982",102
"Eugenia coloradoensis","1982",8
"Eugenia galalonensis","1982",111
"Eugenia nesiotica","1982",49
"Eugenia oerstediana","1982",51
"Faramea occidentalis","1982",6468
"Ficus costaricana","1982",6
"Ficus insipida","1982",2
"Ficus maxima","1982",4
"Ficus obtusifolia","1982",9
"Ficus popenoei","1982",2
"Ficus tonduzii","1982",18
"Ficus trigonata","1982",6
"Ficus yoponensis","1982",6
"Garcinia intermedia","1982",77
"Garcinia madruno","1982",4
"Genipa americana","1982",3
"Guapira standleyana","1982",45
"Guarea grandifolia","1982",3
"Guarea guidonia","1982",644
"Guatteria dumetorum","1982",81
"Guazuma ulmifolia","1982",17
"Guettarda foliacea","1982",78
"Gustavia superba","1982",630
"Hamelia axillaris","1982",110
"Hamelia patens","1982",0
"Hampea appendiculata","1982",46
"Hasseltia floribunda","1982",348
"Heisteria acuminata","1982",37
"Heisteria concinna","1982",151
"Herrania purpurea","1982",510
"Hieronyma alchorneoides","1982",27
"Hirtella americana","1982",2
"Hirtella triandra","1982",697
"Hura crepitans","1982",72
"Hybanthus prunifolius","1982",38697
"Inga acuminata","1982",34
"Inga goldmanii","1982",8
"Inga marginata","1982",23
"Inga nobilis quaternata","1982",66
"Inga oerstediana","1982",1
"Inga pezizifera","1982",7
"Inga punctata","1982",3
"Inga ruiziana","1982",5
"Inga sapindoides","1982",16
"Inga spectabilis","1982",7
"Inga umbellifera","1982",50
"Jacaranda copaia spectabilis","1982",112
"Koanophyllon wetmorei","1982",10
"Lacistema aggregatum","1982",143
"Lacmellea panamensis","1982",11
"Laetia procera","1982",3
"Laetia thamnia","1982",35
"Lafoensia punicifolia","1982",2
"Licania hypoleuca","1982",22
"Licania platypus","1982",4
"Lindackeria laurina","1982",85
"Lonchocarpus heptaphyllus","1982",42
"Luehea seemannii","1982",51
"Macrocnemum roseum","1982",28
"Malpighia romeroana","1982",47
"Maquira guianensis costaricana","1982",220
"Marila laxiflora","1982",10
"Maytenus schippii","1982",31
"Miconia affinis","1982",100
"Miconia argentea","1982",46
"Miconia elata","1982",2
"Miconia hondurensis","1982",7
"Miconia impetiolaris","1982",6
"Miconia nervosa","1982",355
"Mosannona garwoodii","1982",90
"Mouriri myrtilloides parvifolia","1982",2045
"Myrcia gatunensis","1982",5
"Nectandra cissiflora","1982",4
"Nectandra lineata","1982",8
"Nectandra purpurea","1982",8
"Neea amplifolia","1982",61
"Ochroma pyramidale","1982",1
"Ocotea cernua","1982",86
"Ocotea oblonga","1982",14
"Ocotea puberula","1982",1
"Ocotea whitei","1982",67
"Oenocarpus mapora","1982",1383
"Ormosia macrocalyx","1982",3
"Ouratea lucens","1982",185
"Pachira quinata","1982",1
"Pachira sessilis","1982",3
"Palicourea guianensis","1982",356
"Pentagonia macrophylla","1982",288
"Perebea xanthochyma","1982",22
"Picramnia latifolia","1982",257
"Piper aequale","1982",218
"Piper arboreum","1982",31
"Piper colonense","1982",100
"Piper cordulatum","1982",3046
"Piper perlasense","1982",108
"Piper reticulatum","1982",76
"Platymiscium pinnatum polystachyum","1982",39
"Platypodium elegans","1982",35
"Posoqueria latifolia","1982",15
"Poulsenia armata","1982",96
"Pourouma bicolor","1982",6
"Pouteria fossicola","1982",2
"Pouteria reticulata reticulata","1982",52
"Pouteria stipitata","1982",22
"Prioria copaifera","1982",61
"Protium costaricense","1982",34
"Protium panamense","1982",117
"Protium tenuifolium","1982",176
"Pseudobombax septenatum","1982",8
"Psidium friedrichsthalianum","1982",4
"Psychotria acuminata","1982",8
"Psychotria chagrensis","1982",13
"Psychotria cyanococca","1982",4
"Psychotria deflexa","1982",87
"Psychotria graciliflora","1982",10
"Psychotria grandis","1982",17
"Psychotria hoffmannseggiana","1982",5
"Psychotria horizontalis","1982",5976
"Psychotria limonensis","1982",15
"Psychotria marginata","1982",567
"Psychotria racemosa","1982",1
"Psychotria tenuifolia","1982",7
"Pterocarpus rohrii","1982",31
"Quararibea asterolepis","1982",387
"Quassia amara","1982",78
"Randia armata","1982",469
"Rinorea sylvatica","1982",1143
"Sapium glandulosum","1982",13
"Senna dariensis dariensis","1982",194
"Simarouba amara","1982",54
"Siparuna pauciflora","1982",162
"Sloanea terniflora","1982",12
"Socratea exorrhiza","1982",436
"Solanum circinatum","1982",3
"Solanum hayesii","1982",81
"Sorocea affinis","1982",1512
"Spachea membranacea","1982",8
"Spondias mombin","1982",11
"Spondias radlkoferi","1982",23
"Stemmadenia grandiflora","1982",1
"Sterculia apetala apetala","1982",9
"Stylogyne turbacensis","1982",136
"Swartzia simplex continentalis","1982",786
"Swartzia simplex grandiflora","1982",256
"Symphonia globulifera","1982",16
"Tabebuia guayacan","1982",18
"Tabebuia rosea","1982",29
"Tabernaemontana arborea","1982",125
"Tachigali versicolor","1982",14
"Talisia croatii","1982",23
"Talisia nervosa","1982",348
"Terminalia amazonia","1982",11
"Terminalia oblonga","1982",25
"Ternstroemia tepezapote","1982",0
"Tetragastris panamensis","1982",121
"Tetrathylacium johansenii","1982",6
"Theobroma cacao","1982",12
"Thevetia ahouai","1982",76
"Tocoyena pittieri","1982",4
"Trattinnickia aspera","1982",21
"Trema micrantha","1982",0
"Trichanthera gigantea","1982",8
"Trichilia pallida","1982",94
"Trichilia tuberculata","1982",536
"Trichospermum galeottii","1982",6
"Triplaris cumingiana","1982",46
"Trophis caucana","1982",177
"Trophis racemosa","1982",68
"Turpinia occidentalis","1982",12
"Unonopsis pittieri","1982",173
"Virola multiflora","1982",7
"Virola sebifera","1982",221
"Virola surinamensis","1982",89
"Vismia baccifera","1982",56
"Vochysia ferruginea","1982",4
"Xylopia macrantha","1982",77
"Xylosma oligandra","1982",82
"Zanthoxylum acuminatum","1982",6
"Zanthoxylum ekmanii","1982",51
"Zanthoxylum panamense","1982",18
"Zanthoxylum setulosum","1982",1
"Zuelania guidonia","1982",5
