species_id,family,genus,species,genus_species_subspecies,genus_species,woodspecificgrav,seedmass,height,leafmass,relativegrowthratesaplings,relativegrowthratelarge,robin,lifeform,breeding,repr_no95,bsl_repr95,bas95,stno
eugega,Myrtaceae,Eugenia,galalonensis,Eugenia galalonensis,Eugenia galalonensis,0.636,0.08892,16.1,63.8,0.027,NA,40,midstory,bisex,141,0.617778,1.024431,1584
malmsp,Annonaceae,Mosannona,garwoodii,Mosannona garwoodii,Mosannona garwoodii,0.73,0.21642,13.2,67.7,0.033,NA,40,midstory,bisex,121,0.511524,0.611277,422
annosp,Annonaceae,Annona,spraguei,Annona spraguei,Annona spraguei,NA,NA,NA,NA,NA,NA,80,midstory,bisex,33,0.779132,0.922933,180
hirttr,Chrysobalanaceae,Hirtella,triandra,Hirtella triandra,Hirtella triandra,0.606,0.188107,22.7,50.9,0.036,0.012,80,midstory,bisex,882,19.003342,22.607865,5196
licahy,Chrysobalanaceae,Licania,hypoleuca,Licania hypoleuca,Licania hypoleuca,0.836,0.0847,17.8,60.9,0.024,NA,80,midstory,bisex,21,0.548629,0.640008,142
nectpu,Lauraceae,Nectandra,purpurea,Nectandra purpurea,Nectandra purpurea,NA,NA,NA,NA,NA,NA,80,midstory,bisex,5,0.054606,0.133349,98
unonpi,Annonaceae,Unonopsis,pittieri,Unonopsis pittieri,Unonopsis pittieri,0.428,0.72482,22.2,50.3,0.047,0.0141,80,midstory,bisex,210,3.829241,4.44553,759
mar1la,Clusiaceae,Marila,laxiflora,Marila laxiflora,Marila laxiflora,NA,NA,NA,NA,NA,NA,100,midstory,bisex,10,0.316676,0.328789,26
xyl1ma,Annonaceae,Xylopia,macrantha,Xylopia macrantha,Xylopia macrantha,0.84,0.116775,19.8,67,0.053,0.013,100,midstory,bisex,139,2.688449,4.070859,1166
heisco,Erythropalaceae,Heisteria,concinna,Heisteria concinna,Heisteria concinna,0.719,0.179125,17.9,101.1,0.047,0.0101,150,midstory,bisex,175,7.089191,9.483295,985
cordbi,Boraginaceae,Cordia,bicolor,Cordia bicolor,Cordia bicolor,0.373,0.016216,24.8,41.8,0.066,0.0196,160,midstory,bisex,226,13.11337,15.218996,1015
nectgl,Lauraceae,Nectandra,lineata,Nectandra lineata,Nectandra lineata,NA,NA,NA,NA,NA,NA,160,midstory,bisex,7,0.511585,0.599822,141
casear,Salicaceae,Casearia,arborea,Casearia arborea,Casearia arborea,0.562,0.00115,22.5,27.5,NA,0.0156,200,midstory,bisex,69,7.751636,8.427602,157
guazul,Malvaceae,Guazuma,ulmifolia,Guazuma ulmifolia,Guazuma ulmifolia,0.495,0.001297,23.1,37.8,NA,0.027,300,midstory,bisex,19,4.156854,4.918108,49
hirtam,Chrysobalanaceae,Hirtella,americana,Hirtella americana,Hirtella americana,NA,NA,NA,NA,NA,NA,300,midstory,bisex,1,0.107521,0.250081,41
ingago,Fabaceae-mimosoideae,Inga,goldmanii,Inga goldmanii,Inga goldmanii,0.557,0.499075,22.8,51.9,0.036,0.0184,300,midstory,bisex,6,0.63331,1.988584,429
ingafa,Fabaceae-mimosoideae,Inga,laurina,Inga ruiziana,Inga laurina,NA,NA,NA,NA,NA,NA,300,midstory,bisex,4,0.583072,0.891588,110
ingam1,Fabaceae-mimosoideae,Inga,mucuna,Inga mucuna,Inga mucuna,NA,NA,NA,NA,NA,NA,300,midstory,bisex,0,0,0.004072,1
ingami,Fabaceae-mimosoideae,Inga,oerstediana,Inga oerstediana,Inga oerstediana,NA,NA,NA,NA,NA,NA,300,midstory,bisex,0,0,0.080683,9
ardiba,Myrsinaceae,Ardisia,bartlettii,Ardisia bartlettii,Ardisia bartlettii,NA,NA,NA,NA,NA,NA,NA,shrub,bisex,3,0.000287,0.000287,4
banagu,Salicaceae,Banara,guianensis,Banara guianensis,Banara guianensis,NA,NA,NA,NA,NA,NA,NA,shrub,bisex,5,0.020885,0.020885,5
